blood_frac_conc,brain_conc,brain_binding,plasma_protein_binding,kpuu,100nM_PgP,1uM_PgP,100nM_BCRP,1uM_PgP_qsar,100_nM_Mouse_BCRP_qsar,qsar_mrt
2.543333333,1.66105,0.0577,0.253030154,1,17.286,7.407447405,0.789,30.5,2.7,0.5
28.750102,5.9856,0.0637,4.96,0.357553104,12.311,10.66256412,4.938,12,4.2,0.418
1.7318,0.384644444,0.2059,35.52,0.379427806,0.7865,0.724568091,0.875,0.791,0.91,3.23
0.312588889,0.233283333,0.0853,34.05757465,0.213199561,1.118,1.058,0.8995,1.05,0.9,1.81
0.291271,1.445490952,0.0766,0.937,0.244962293,2.7905,2.14363534,37.0545,3.08,8.7,0.814
4.5079,1.043321647,0.0034,1.39,0.374050152,7.810666667,7.427,14.2615,3.22,9,0.973
0.074846667,0.04902,0.0471,11.72255404,1,3.093333333,2.146,1.899,3.38,3.5,1.45
0.249777778,0.545222222,0.0279,9.309953101,0.654148668,1.264,1.5,1.408,1.22,2.2,2.18
0.712666667,0.10295,0.0252,5.2615,1,25.303,18.24932616,38.833,5.29,18,1.36
0.266588889,0.1368,0.0017,0.004,0.105038257,2.50925,0.696,1.075,4.57,1,2.05
0.184603333,0.015690345,0.0376,12.216,0.080810291,2.36,2.190069114,5.216,7.68,4.5,2.46
0.1017,0.0407,0.0362,6.1213924,0.236663785,6.749666667,3.76,0.805,4.78,0.82,1.52
0.075816667,0.469580125,0.0202,9.978394224,1,1.288,1.949,2.063,1.22,2.2,2.15
0.391338125,0.8288385,0.0299,14.6,0.08996977,0.733,0.8,2.323,3.68,1,6.79
0.1139025,0.133646,0.0103,3.706382367,1,4.598,1.1,0.752,3.35,0.92,3.58
0.53633,0.056066667,0.2437,33.46566672,0.267260396,9.743,8.12,1.834,7.8,1.8,1.27
0.028846667,0.02362,0.0068,1.385652636,0.278448675,0.978,0.714,12.924,4.39,12,1.09
0.018062,0.0572345,0.0064,2.41,0.27259505,2.061,1.1705,2.108,7.18,3.4,4.69
2.3504,0.020095,0.0954,0.955124081,0.153143303,2.211,4.348,4.247,5.58,10,0.37
1.0784,0.138666667,0.0621,13.69676431,0.919011514,3.692,2.02,2.931,6.26,3.2,0.873
3.7446,0.022933333,0.1051,0.314908276,1,14.649,10.11275,1.692,15.1,4.3,1.2
